id;hospital;endereco
99;HOSPITAL REGIONAL SUL SAO PAULO;RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO, 270 - SANTO AMARO, SAO PAULO, SP
100;HOSPITAL VITAL BRAZIL SAO PAULO;AV VITAL BRAZIL, 1500 - BUTANTA, SAO PAULO, SP
101;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;RUA MANOEL FRANCA DOS SANTOS, 174 - JARDIM SAPOPEMBA, SAO PAULO, SP
102;HOSPITAL GERAL DE VILA PENTEADO DR JOSE PANGELLA SAO PAULO;AV MINISTRO PETRONIO PORTELA, 1642 - JARDIM IRACEMA, SAO PAULO, SP
103;HOSPITAL PSIQUIATRICO DE VILA MARIANA;RUA MAJOR MARAGLIANO, 241, 287 - VILA MARIANA, SAO PAULO, SP
104;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;AV DEPUTADO EMILIO CARLOS, 3000 - VILA NOVA CACHOEIRIN, SAO PAULO, SP
105;HOSP DO SERV PUB MUNICIPAL HSPM;CASTRO ALVES, 60 - LIBERDADE, SAO PAULO, SP
106;HOSP MUN FERNANDO MAURO PIRES DA ROCHA;ESTRADA DE ITAPECERICA, 1661, VILA MARACANA - CAMPO LIMPO, SAO PAULO, SP
107;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;RUA DOM JOSE MAURICIO, 15 - CARANDIRU, SAO PAULO, SP
108;HOSP MUN VER JOSE STOROPOLLI;RUA FRANCISCO FANGANIELLO, 127 - PARQUE NOVO MUNDO, SAO PAULO, SP
109;CENTRO MEDICO PMESP;AVENIDA NOVA CANTAREIRA, 3659 - TREMEMBE, SAO PAULO, SP
110;HOSP MUN CARMEN PRUDENTE;AVENIDA DOS METALURGICOS, 1797 - CIDADE TIRADENTES, SAO PAULO, SP
111;HOSPITAL LOCAL DE SAPOPEMBA;RUA IAMACARU, 45 - PARQUE SANTA MADALEN, SAO PAULO, SP
