categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_condicionado;combustivel;consumo_cidade;consumo_estrada;consumo_cidade_2;consumo_estrada_2;consumo_eletrico_cidade;consumo_eletrico_estrada;consumo_vehp_flex_cidade;consumo_vehp_flex_estrada;consumo_energetico_mj_km;autonomia_eletrica_km;classificacao_pbe;classificacao_geral;selo_conpet
Médio;VW;VIRTUS;TSI AUTOMÁTICO;1.0-12V;Combustão;A - 6;S;F;8,5;10,4;12,2;14,9;;;;;1,62;;C;C;-
Médio;VW;VIRTUS;TSI MECÂNICO;1.0-12V;Combustão;M - 5;S;F;9,2;11,2;13,2;15,8;;;;;1,49;;B;B;-
Médio;VW;VIRTUS;SENSE TSI MECÂNICO;1.0-12V;Combustão;M - 5;S;F;9,2;11,2;13,2;15,8;;;;;1,49;;B;B;-
Médio;VW;VIRTUS;EXCLUSIVE 250TSI AUT;1.4 -16V;Combustão;A - 6;S;F;8,1;9,9;11,7;14;;;;;1,7;;D;C;-
Médio;VW;POLO;COMFORTLINE TSI AUT;1.0-12V;Combustão;A - 6;S;F;9;11,1;13,1;16,1;;;;;1,5;;B;B;-
Médio;VW;POLO;SENSE TSI AUTOMÁTICO;1.0-12V;Combustão;A - 6;S;F;9;11,1;13,1;16,1;;;;;1,5;;B;B;-
Médio;VW;POLO;HIGHLINE TSI AUTOMÁTICO;1.0-12V;Combustão;A - 6;S;F;8,8;10,7;12,5;15,2;;;;;1,57;;C;C;-
Médio;VW;POLO;MPI;1.0-12V;Combustão;M - 5;S;F;9,3;10,9;13,5;15,7;;;;;1,48;;B;B;-
Médio;VW;POLO;TRACK 1.0 MPI;1.0-12V;Combustão;M - 5;S;F;;;;;;;;;1,48;;B;B;-
Médio;VW;POLO;TRACK ROBUST 1.0 MPI;1.0-12V;Combustão;M - 5;S;F;;;;;;;;;1,48;;B;B;-
Médio;VW;TERA;MPI;1.0-12V;Combustão;M - 5;S;F;9,3;10,4;13,4;15;;;;;1,52;;B;B;-
Grande;AUDI;A3 Sedan;Advanced;2.0 - 16V;Combustão;DCT-7;S;G;;;10,1;12,9;;;;;1,95;;D;C;-
Grande;AUDI;A3 Sedan;Performance;2.0 - 16V;Combustão;DCT-7;S;G;;;10,1;12,9;;;;;1,95;;D;C;-
Grande;AUDI;A3 Sedan;Performance Black;2.0 - 16V;Combustão;DCT-7;S;G;;;10,1;12,9;;;;;1,95;;D;C;-
Grande;AUDI;RS3 Sedan;-;2.5 - 20V;Combustão;DCT-7;S;G;;;7,3;9,9;;;;;2,7;;E;E;-
Grande;AUDI;RS3 Sedan;Track;2.5 - 20V;Combustão;DCT-7;S;G;;;7,3;9,9;;;;;2,7;;E;E;-
Grande;AUDI;Q3 SUV;Launch edition (ed.0);2.0 - 16V;Combustão;DCT-7;S;G;;;8;9,8;;;;;2,54;;E;D;-
Grande;AUDI;Q3 SUV;Launch edition (ed.0);2.0 - 16V;Combustão;DCT-7;S;G;;;8;9,8;;;;;2,54;;E;D;-
Grande;AUDI;Q3 Sportback;Launch edition (ed.0);2.0 - 16V;Combustão;DCT-7;S;G;;;8;9,9;;;;;2,53;;E;D;-
Grande;AUDI;Q3 Sportback;Launch edition (ed.0);2.0 - 16V;Combustão;DCT-7;S;G;;;8;9,9;;;;;2,53;;E;D;-
Grande;AUDI;Q3 SUV;Launch edition;2.0 - 16V;Combustão;DCT-7;S;G;;;8,2;9,6;;;;;2,52;;E;D;-
Grande;AUDI;Q3 SUV;Launch edition;2.0 - 16V;Combustão;DCT-7;S;G;;;8,2;9,6;;;;;2,52;;E;D;-
Grande;AUDI;Q3 Sportback;Launch edition;2.0 - 16V;Combustão;DCT-7;S;G;;;8,2;9,5;;;;;2,52;;E;D;-
Grande;AUDI;Q3 Sportback;Launch edition;2.0 - 16V;Combustão;DCT-7;S;G;;;8,2;9,5;;;;;2,52;;E;D;-
Grande;BMW;iX1;xDrive30;Elétrico;Elétrico;A;S;E;;;;;35,7;32;;;0,6;324;A;A;-
Grande;BMW;iX1;eDrive20;Elétrico;Elétrico;A;S;E;;;;;37,4;36,1;;;0,55;345;A;A;-
Grande;BMW;iX2;xDrive30 MSP;Elétrico;Elétrico;A;S;E;;;;;35,7;32,8;;;0,59;327;A;A;-
Grande;BMW;220;-;2.0 - 16V;Combustão;A-7;S;G;;;11,4;14,9;;;;;1,7;;C;C;-
Grande;BMW;220;MSP;2.0 - 16V;Combustão;A-7;S;G;;;11,4;14,9;;;;;1,7;;C;C;-
Grande;BMW;M235;xDrive;2.0 - 16V;Combustão;A-7;S;G;;;8,9;12,3;;;;;2,16;;E;D;-
Grande;BMW;X2;M35i;2.0 - 16V;Combustão;A-7;S;G;;;8,9;11,6;;;;;2,21;;E;D;-
Grande;BYD;ATTO 2;GS DM FLEX;1.5-16V;Plug-in;A-1;S;F;11,8;10,7;15,5;13,9;43,4;34,9;32,2;24,8;0,51;75;A;A;SIM
Grande;BYD;ATTO 2;GL DM FLEX;1.5-16V;Plug-in;A-1;S;F;11,7;10,5;15,8;13,5;42,3;29,7;27,7;21,4;0,57;33;A;A;SIM
Grande;BYD;YUAN PLUS;GS 560EV;Elétrico;Elétrico;N.A.;S;E;;;;;38,3;32;;;0,58;378;A;A;
Grande;CAOA CHERY;TIGGO 7;PHEV;1.5T -16V;Plug-in;DHT;S;G;;;12,3;11,9;36,4;28,8;;;0,62;60;A;A;SIM
Grande;GAC;AION Y;PREMIUM;Elétrico;Elétrico;A-1;S;E;;;;;36,5;35;;;0,57;318;A;A;-
Grande;GAC;AION Y;ELITE;Elétrico;Elétrico;A-1;S;E;;;;;36,5;35;;;0,57;318;A;A;-
Grande;GAC;AION UT;ELITE;Elétrico;Elétrico;A-1;S;E;;;;;38,3;32,3;;;0,57;310;A;A;-
Grande;GAC;AION UT;PREMIUM;Elétrico;Elétrico;A-1;S;E;;;;;43,7;35,3;;;0,51;253;A;A;-
Grande;GWM;ORA;5;Elétrico;Elétrico;A-1;S;E;;;;;44,8;37,1;;;0,49;349;A;A;-
Grande;HONDA;CIVIC HYBRID;TOURING;2.0 - 16V;Híbrido;CVT;S;G;;;18,4;15,9;;;;;1,21;;B;B;-
Grande;HONDA;ZR-V;TOURING;2.0 - 16V;Combustão;CVT;S;G;;;10,4;12,3;;;;;1,95;;D;C;-
Grande;JAECOO;7;PRESTIGE;1.5-16V;Plug-in;A-1;S;G;;;15,1;13,5;37;30,7;;;0,6;79;A;A;SIM
Grande;JAECOO;7;LUXURY;1.5-16V;Plug-in;A-1;S;G;;;15,1;13,5;37;30,7;;;0,6;79;A;A;SIM
Grande;LEXUS;UX 300H;UX 300H;2.0 - 16V;Híbrido;CVT;S;G;;;17,3;14,9;;;;;1,29;;B;B;-
Grande;Mercedes-Benz;AMG A45S 4M;;2.0-16V;Combustão;DCT-8;S;G;;;8,3;10,7;;;;;2,4;;E;D;-
Grande;Mercedes-Benz;GLA200;AMG LINE;1.3-16V;Híbrido;DCT-7;S;G;;;11,4;12,4;;;;;1,83;;C;C;-
Grande;Mercedes-Benz;GLA200;PROGRESSIVE;1.3-16V;Híbrido;DCT-7;S;G;;;11,4;12,4;;;;;1,83;;C;C;-
Grande;Mercedes-Benz;AMG GLA35 4M;;2.0-16V;Híbrido;DCT-8;S;G;;;8,8;10,8;;;;;2,29;;E;D;-
Grande;MG;S5;EV 62KWH LUX;Elétrico;Elétrico;A-1;S;E;;;;;43;36,7;;;0,51;351;A;A;-
Grande;MG;S5;EV 62KWH COM;Elétrico;Elétrico;A-1;S;E;;;;;43;36,7;;;0,51;351;A;A;-
Grande;MG;MG4;URB EV54KWH COM;Elétrico;Elétrico;A-1;S;E;;;;;53;42,8;;;0,42;358;A;A;-
