origin_id;origin_hospital;origin_bairro;destination_id;destination_hospital;destination_bairro;distance_meters;distance_km;duration_seconds;duration_minutes;status;error_message
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;16;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;SAO MATEUS;57180;57.18;3731;62.19;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;17;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;IPIRANGA;23480;23.48;2325;38.77;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;18;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;SANTANA;41800;41.8;2946;49.1;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;19;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;ITAIM PAULISTA;69800;69.8;4014;66.91;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;20;HOSP MUN PROF DR WALDOMIRO DE PAULA;ITAQUERA;67040;67.04;3957;65.95;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;21;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;PARQUE DAS NACOES;23430;23.43;2313;38.56;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;22;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;BELENZINHO;43820;43.82;2702;45.04;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;23;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;VILA MARIANA;18630;18.63;1865;31.09;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;24;HOSPITAL MILITAR DE AREA DE SAO PAULO;CAMBUCI;23150;23.15;2382;39.71;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;25;CENTRO DE REFERENCIA DA SAUDE DA MULHER;CAMPOS ELISEOS;24540;24.54;2277;37.97;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;26;HOSP MUN INFANTIL MENINO JESUS;BELA VISTA;21480;21.48;2065;34.42;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;28;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;VILA NOVA CACHOEIRIN;35890;35.89;2604;43.41;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;29;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;JARDIM SAO PAULO;74980;74.98;4535;75.59;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;30;HOSP MUN DR CARMINO CARICCHIO;TATUAPE;44990;44.99;2894;48.24;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;31;HOSP MUN TIDE SETUBAL;SAO MIGUEL PAULISTA;63210;63.21;3700;61.68;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;32;HOSP MUN V NHOCUNE ALEXANDRE ZAIO;VILA NHOCUNE;54190;54.19;3541;59.02;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;33;HOSP MUN JABAQUARA ARTUR RIBEIRO DE SABOYA;JABAQUARA;15750;15.75;1531;25.53;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;34;HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO;PARADA DE TAIPAS;38960;38.96;2797;46.63;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;35;HOSP MUN PROFESSOR DOUTOR ALIPIO CORREA NETTO;VILA PARANAGUA;55750;55.75;3747;62.47;ok;
3;HOSPITAL MUNICIPAL GUARAPIRANGA;RIVIERA PAULISTA;36;HOSPITAL MUNICIPAL DR BENEDITO MONTENEGRO;JARDIM IVA;34630;34.63;3408;56.81;ok;
